Longitude,Latitude,Pixel,Scan
27.5914278,60.9370608,1800,1700
27.6233364,60.9364763,1900,1700
27.6552439,60.9358843,2000,1700
27.6871506,60.9352848,2100,1700
27.7190566,60.9346777,2200,1700
27.7509619,60.9340631,2300,1700
27.7828667,60.9334409,2400,1700
27.814771,60.9328113,2500,1700
27.8466752,60.932174,2600,1700
27.8785791,60.9315292,2700,1700
27.910483,60.9308769,2800,1700
27.942387,60.930217,2900,1700
27.9742911,60.9295496,3000,1700
28.0061956,60.9288745,3100,1700
28.0381004,60.928192,3200,1700
28.0700059,60.9275018,3300,1700
28.1019119,60.9268041,3400,1700
28.1338188,60.9260988,3500,1700
28.1657265,60.9253859,3600,1700
28.1976352,60.9246655,3700,1700
28.2295451,60.9239374,3800,1700
28.2614562,60.9232018,3900,1700
28.2930495,60.922466,3999,1700
27.0156438,60.9297392,0,1800
27.0475757,60.9292903,100,1800
27.0795045,60.9288338,200,1800
27.1114303,60.9283699,300,1800
27.1433533,60.9278984,400,1800
27.1752736,60.9274194,500,1800
27.2071912,60.9269329,600,1800
27.2391063,60.9264389,700,1800
27.2710191,60.9259374,800,1800
27.3029296,60.9254284,900,1800
27.3348379,60.9249119,1000,1800
27.3667442,60.9243878,1100,1800
27.3986485,60.9238563,1200,1800
27.4305511,60.9233172,1300,1800
27.462452,60.9227706,1400,1800
27.4943513,60.9222165,1500,1800
27.5262492,60.9216549,1600,1800
27.5581457,60.9210857,1700,1800
27.590041,60.9205091,1800,1800
27.6219353,60.9199249,1900,1800
27.6538285,60.9193332,2000,1800
27.6857209,60.9187339,2100,1800
27.7176125,60.9181271,2200,1800
27.7495035,60.9175128,2300,1800
27.781394,60.9168909,2400,1800
27.8132841,60.9162616,2500,1800
27.8451739,60.9156246,2600,1800
27.8770636,60.9149801,2700,1800
27.9089532,60.9143281,2800,1800
27.9408428,60.9136685,2900,1800
27.9727327,60.9130014,3000,1800
28.0046229,60.9123267,3100,1800
28.0365135,60.9116445,3200,1800
28.0684046,60.9109546,3300,1800
28.1002964,60.9102573,3400,1800
28.1321889,60.9095523,3500,1800
28.1640824,60.9088398,3600,1800
28.1959768,60.9081197,3700,1800
28.2278724,60.907392,3800,1800
28.2597692,60.9066567,3900,1800
28.2913484,60.9059213,3999,1800
27.0144988,60.9131885,0,1900
27.0464164,60.9127397,100,1900
27.0783309,60.9122835,200,1900
27.1102425,60.9118197,300,1900
27.1421512,60.9113485,400,1900
27.1740571,60.9108697,500,1900
27.2059604,60.9103834,600,1900
27.2378612,60.9098897,700,1900
27.2697597,60.9093884,800,1900
27.3016559,60.9088796,900,1900
27.3335499,60.9083633,1000,1900
